exchangeAddress,exchangeName,Chain
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3,Ethereum
0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp 4,Ethereum
0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,Ethereum
0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp 6,Ethereum
0x964771f6df31eea2d927fa71d7bd78e81bcdce05,Bitstamp: Contract 1,Ethereum
0x1b8a38ea02ceda9440e00c1aeba26ee2dc570423,BITStorage,Ethereum
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,Ethereum
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex 2,Ethereum
0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,Ethereum
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,Ethereum
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,Ethereum
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,Ethereum
0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,Ethereum
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,Ethereum
0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades Exchange,Ethereum
0xdf8752caa319668006580ddf48db25a23728b926,Bololex.com,Ethereum
0x1c00d840ccaa67c494109f46e55cfeb2d8562f5c,BTC-Alpha Exchange,Ethereum
0x73957709695e73fd175582105c44743cf0fb6f2f,Bw.com,Ethereum
0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX: Hot Wallet,Ethereum
0x88988d6ef12d7084e34814b9edafa01ae0d05082,CamboChanger 2,Ethereum
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,Ethereum
0x7a56f645dcb513d0326cbaa048e9106ff6d4cd5f,Catex Exchange,Ethereum
0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,ChainX,Ethereum
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,Ethereum
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood 1,Ethereum
0xb726da4fbdc3e4dbda97bb20998cf899b0e727e0,Cobinhood 2,Ethereum
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,Ethereum
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,Ethereum
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,Ethereum
0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,Ethereum
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,Ethereum
0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,Ethereum
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,Ethereum
0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,Ethereum
0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,Ethereum
0xbf1a97d8d4229d61b031214d5bbe9a5cb1e737f9,CoinDhan,Ethereum
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,Ethereum
0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,Coinex 2,Ethereum
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,Ethereum
0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,Coinhako,Ethereum
0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro Exchange,Ethereum
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,Ethereum
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,Ethereum
0xd0808da05cc71a9f308d330bc9c5c81bbc26fc59,Coinswitch,Ethereum
0x8705ccfd8a6df3785217c307cbebf9b793310b94,CoinW,Ethereum
0xcb243bf48fb443082fae7db47ec96cb120cd6801,CoinW 2,Ethereum
0x429bf8ec3330e02401d72beade86000d9a2e19eb,CoinW 3,Ethereum
0x6f31d347457962c9811ff953742870ef5a755de3,CoinW 4,Ethereum
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,COSS.io 1,Ethereum
